X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.23561805665,34.0647989670792,61181,Metropolitan Transportation Authority (MTA),80000079,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Chinatown Metro Station,,,Los Angeles,,,,,,,,63057,Gold Line,,http://egis3.lacounty.gov/lms/?p=63057,publish,34.064799,-118.235618,2011/05/03 18:53:23+00,,6490309.5504283,1846045.63364457
-118.219958056637,34.081263967139,61182,Metropolitan Transportation Authority (MTA),80000080,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Lincoln Heights / Cypress Park Metro Station,,,Los Angeles,,,,,,,,63058,Gold Line,,http://egis3.lacounty.gov/lms/?p=63058,publish,34.081264,-118.219958,2011/05/03 18:53:23+00,,6495065.54222864,1852026.79950373
-118.21263105644,34.0877469670134,61183,Metropolitan Transportation Authority (MTA),80000081,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Heritage Square / Arroyo Metro Station,,,Los Angeles,,,,,,,,63059,Gold Line,,http://egis3.lacounty.gov/lms/?p=63059,publish,34.087747,-118.212631,2011/05/03 18:53:23+00,,6497289.19526164,1854381.30660573
-118.205571056476,34.0990669668301,61184,Metropolitan Transportation Authority (MTA),80000082,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Southwest Museum Metro Station,,,Los Angeles,,,,,,,,63060,Gold Line,,http://egis3.lacounty.gov/lms/?p=63060,publish,34.099067,-118.205571,2011/05/03 18:53:23+00,,6499435.26774114,1858496.41222064
-118.193979057022,34.1105009670416,61185,Metropolitan Transportation Authority (MTA),80000083,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Highland Park Metro Station,,,Los Angeles,,,,,,,,63061,Gold Line,,http://egis3.lacounty.gov/lms/?p=63061,publish,34.110501,-118.193979,2011/05/03 18:53:23+00,,6502952.68295039,1862650.47609098
-118.238058056043,34.0489809673566,61193,Metropolitan Transportation Authority (MTA),80000091,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Little Tokyo / Arts District Metro Station,,,Los Angeles,,,,,,,,63069,Gold Line,,http://egis3.lacounty.gov/lms/?p=63069,publish,34.048981,-118.238058,2011/05/03 18:53:23+00,,6489556.92496505,1840290.91451098
-118.225196056863,34.047594966969,61194,Metropolitan Transportation Authority (MTA),80000092,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pico / Aliso Metro Station,,,Los Angeles,,,,,,,,63070,Gold Line,,http://egis3.lacounty.gov/lms/?p=63070,publish,34.047595,-118.225196,2011/05/03 18:53:23+00,,6493451.99230614,1839777.54513089
-118.219818056928,34.0472799671111,61195,Metropolitan Transportation Authority (MTA),80000093,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Mariachi Plaza / Boyle Heights Metro Station,,,Los Angeles,,,,,,,,63071,Gold Line,,http://egis3.lacounty.gov/lms/?p=63071,publish,34.04728,-118.219818,2011/05/03 18:53:23+00,,6495080.88963889,1839659.30455373
-118.209729056834,34.0437589669969,61196,Metropolitan Transportation Authority (MTA),80000094,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Soto Metro Station,,,Los Angeles,,,,,,,,63072,Gold Line,,http://egis3.lacounty.gov/lms/?p=63072,publish,34.043759,-118.209729,2011/05/03 18:53:23+00,,6498134.47113013,1838371.41638148
-118.192319056405,34.0333079671918,61197,Metropolitan Transportation Authority (MTA),80000095,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Indiana Metro Station,,,Los Angeles,,,,,,,,63073,Gold Line,,http://egis3.lacounty.gov/lms/?p=63073,publish,34.033308,-118.192319,2011/05/03 18:53:23+00,,6503401.41925764,1834557.55097772
-118.37751930665,34.1688089666318,61455,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,North Hollywood Metro Station,5373 N. Lankershim Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65188,"<strong>Orange Line</strong>

Chandler Blvd. / Lankershim Blvd.

<em>951 Park/Ride Lot Spaces </em>

<em></em><em>8 Lockers/4 Racks</em>",91601,http://egis3.lacounty.gov/lms/?p=65188,publish,34.168809,-118.37751925,2011/10/28 10:02:04+00,,6447474.75059938,1884027.61443898
-118.397035056392,34.1685648566106,61456,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Laurel Canyon Metro Station,5371 Laurel Canyon Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65190,"<strong>Orange Line</strong>

<em>8 Lockers/4 Racks</em>",91607,http://egis3.lacounty.gov/lms/?p=65190,publish,34.16856489,-118.397035,2012/03/22 17:18:10+00,,6441571.12198672,1883961.52336381
-118.422081526123,34.1717649267311,61457,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Valley College Metro Station,13240 W. Burbank Blvd.,,Los Angeles,CA,"Bus & Rail Transit Information: 323.GO.METRO (323.466.3876)
6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",,,http://www.metro.net/around/rail/orange-line/,,,65193,"<strong>Orange Line</strong>
Fulton Ave. / Burbank Blvd
<em>8 Lockers/4 Racks</em>",91401,http://egis3.lacounty.gov/lms/?p=65193,publish,34.17176496,-118.42208147,2011/10/24 23:27:22+00,,6433999.74310064,1885156.94616981
-118.429704365922,34.1789857163155,61458,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Woodman Metro Station,13622 W. Oxnard St,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65197,"<strong>Orange Line</strong>
Oxnard St. / Buffalo Ave.
<em>8 Lockers/4 Racks</em>",91401,http://egis3.lacounty.gov/lms/?p=65197,publish,34.17898575,-118.42970431,2011/10/24 23:27:19+00,,6431705.24506497,1887794.46779764
-118.448136506236,34.1804590865548,61459,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Van Nuys Metro Station,6060 Van Nuys Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65201,"<strong>Orange Line</strong>
Van Nuys Blvd. / Aetna St.
<em>776 Park/Ride Lot Spaces </em>
<em>8 Lockers/4 Racks</em>",91411,http://egis3.lacounty.gov/lms/?p=65201,publish,34.18045912,-118.44813645,2011/10/24 23:27:16+00,,6426132.82740405,1888354.99161097
-118.468750176533,34.1808459162131,61460,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Sepulveda Metro Station,15430 W. Erwin St,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65205,"<strong>Orange Line</strong>
Sepulveda Blvd. / Erwin St.
<em>1,205 Park/Ride Lot Spaces </em>
<em>8 Lockers/4 Racks</em>",91411,http://egis3.lacounty.gov/lms/?p=65205,publish,34.18084595,-118.46875012,2011/10/24 23:27:12+00,,6419898.9865253,1888524.19894972
-118.484142475809,34.1863123866508,61461,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Woodley Metro Station,6381 N. Woodley Ave.,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65207,"<strong>Orange Line</strong>
Woodley Ave. / Victory Blvd.
<em>16 Lockers/4 Racks</em>",91406,http://egis3.lacounty.gov/lms/?p=65207,publish,34.18631242,-118.48414242,2011/10/24 23:27:10+00,,6415253.27271964,1890535.5892839
-118.500571905914,34.1859980666273,61462,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Balboa Metro Station,Balboa Blvd & Victory Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65209,"<strong>Orange Line</strong>
Balboa Blvd. / Victory Blvd.
<em>270 Park/Ride Lot Spaces </em>
<em>20 Lockers/16 Racks</em>",91316,http://egis3.lacounty.gov/lms/?p=65209,publish,34.1859981,-118.50057185,2011/10/24 23:27:06+00,,6410284.06349798,1890445.54156373
-118.5364884655,34.1804502161409,61463,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Reseda Metro Station,6065 N. Reseda Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65210,"<strong>Orange Line</strong>
Reseda Blvd. / Oxnard St.
<em>522 Park/Ride Lot Spaces </em>
<em>16 Lockers/3 Racks</em>",91335,http://egis3.lacounty.gov/lms/?p=65210,publish,34.18045025,-118.53648841,2011/10/24 23:27:03+00,,6399411.26306513,1888482.64030582
-118.553080615905,34.181049316744,61464,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Tampa Metro Station,6101 Tampa Ave,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65211,"<strong>Orange Line</strong>
Tampa Ave. / Topham St.
<em>8 Lockers/6 Racks</em>",91335,http://egis3.lacounty.gov/lms/?p=65211,publish,34.18104935,-118.55308056,2011/10/24 23:27:00+00,,6394394.27408339,1888727.85831931
-118.570552525629,34.1869558262599,61465,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pierce College Metro Station,6425 Winnetka Ave,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65212,"<strong>Orange Line</strong>
Winnetka Ave. / Friar St.
<em>373 Park/Ride Lot Spaces </em>
<em>8 Lockers/6 Racks</em>",91367,http://egis3.lacounty.gov/lms/?p=65212,publish,34.18695586,-118.57055247,2012/03/26 10:26:16+00,,6389122.25149097,1890906.8444469
-118.588694986013,34.1887130560915,61466,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),De Soto Metro Station,20901 Victory Blvd,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65213,"<strong>Orange Line</strong>
De Soto Ave. / Victory Blvd.
<em>8 Lockers/6 Racks</em>",91367,http://egis3.lacounty.gov/lms/?p=65213,publish,34.18871309,-118.58869493,2011/10/24 23:26:53+00,,6383639.36481898,1891577.95957448
-118.596881085378,34.1905634368142,61467,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Canoga Metro Station,6610 Canoga Ave,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65214,"<strong>Orange Line</strong>
<em>612 Park/Ride Lot Spaces </em>
<em>8 Lockers/6 Racks</em>",91303,http://egis3.lacounty.gov/lms/?p=65214,publish,34.19056347,-118.59688103,2011/10/24 23:26:50+00,,6381167.78216372,1892265.93424839
-118.601403295317,34.1815419167835,61468,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Warner Center Metro Station,6101 1/2 Owensmouth Ave,,Los Angeles,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,65215,"<strong>Orange Line</strong>
Owensmouth Ave. / Promenade Mall Drive
6101 1/2 Owensmouth Ave., Canoga Park, CA 91367",91367,http://egis3.lacounty.gov/lms/?p=65215,publish,34.18154195,-118.60140324,2011/10/24 23:26:47+00,,6379780.59596172,1888991.05005014
-118.355120175762,34.024800846698,61775,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Expo/La Brea Metro Station,5060 Exposition Blvd,,Los Angeles,CA,,,,http://www.metro.net/projects/exposition/,,,67738,Expo line,90016,http://egis3.lacounty.gov/lms/?p=67738,publish,34.02480088,-118.35512012,2012/05/03 13:24:11+00,,6454065.07272056,1831595.97684839
-118.371959085947,34.0263391570039,61776,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),La Cienega/Jefferson Metro Station,5664 W. Jefferson Blvd,,Los Angeles,CA,,,,http://www.metro.net/projects/exposition/,,,67739,Expo line,90016,http://egis3.lacounty.gov/lms/?p=67739,publish,34.02633919,-118.37195903,2013/03/20 15:33:22+00,,6448964.79420722,1832174.24832964
-118.273556886425,34.0291844971719,61777,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),LATTC/Ortho Institute Metro Station,2460 S. Flower Street,,Los Angeles,CA,,,,,,,67740,Expo line,90007,http://egis3.lacounty.gov/lms/?p=67740,publish,34.02918453,-118.27355683,2012/05/03 13:17:04+00,,6478783.90746914,1833113.98201448
-118.278135416598,34.0221621069114,61778,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Jefferson/USC Metro Station,3214 S. Flower Street,Suite 188,Los Angeles,CA,,,,http://www.metro.net/projects/exposition/,,,67741,Expo line,90007,http://egis3.lacounty.gov/lms/?p=67741,publish,34.02216214,-118.27813536,2012/05/03 13:16:55+00,,6477389.56675389,1830562.21087131
